spp_outstanding_amt_old,Reference,Date,Vendor,"Supply Type",Product,"Received Date	","Quantity 1","Quantity 2",Currency,"Landing Cost","Sales Price","Gross Margin","Amount Due",Paid,"Paid (%)",Balance,"Sold (%)	"
0.00,MOND-TSP-10594,22/07/2025,PCOOK,"Marine Supply",PMS,--,25500.00,35465924.90,NGN,80.00,50.00,"-765,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-TSP-10593,22/07/2025,NU,"OffShore Supply",BONLT,--,40055.00,0.00,USD,77.00,84.00,"280,360.94",0.00,0.00,0.00,0.00,0.00
0.00,MOND-TSP-10543,07/06/2025,"Shell Petroleum","Marine Supply",PMS,--,500.00,695410.29,USD,680.00,800.00,"60,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10496,30/01/2025,"Motorola Org","Marine Supply",PMS,--,99999750.00,71899.82,NGN,858.77,910.00,"5,123,068,945.95",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10490,27/01/2025,"Motorola Org","Marine Supply",NPMS,--,65120000.00,488.30,NGN,776.48,950.00,"11,299,361,823.49",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10444,15/01/2025,"BLOOM INTEGRATED SERVICES LTD.","Marine Supply",NPMS,--,19471488.18,14000.00,NGN,889.10,935.00,"893,702,446.61",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10439,15/01/2025,"BLOOM INTEGRATED SERVICES LTD.","Marine Supply",NPMS,--,14000.00,0.10,NGN,"1,307,905.42","1,300,417.25","-104,834,314.72",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10440,15/01/2025,DPRP,"Marine Supply",PMS,--,60000.00,43.14,NGN,707.92,800.00,"5,525,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10434,10/01/2025,"Shell Petroleum","Marine Supply",PMS,--,60000.00,83449235.05,USD,700.01,800.00,"5,999,651.35",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10416,08/01/2025,DPRP$,"Marine Supply",NPMS,--,60000.00,83449235.05,USD,727.03,800.00,"4,378,355.71",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10415,08/01/2025,DPRP,"Gantry Supply",PMS,--,5000.00,6954102.92,NGN,"1,500.00","1,700.00","1,000,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10412,07/01/2025,DPRP$,"Gantry Supply",NPMS,--,60000.00,83449235.05,USD,712.86,800.00,"5,228,441.14",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10411,07/01/2025,DPRP$,"Marine Supply",NPMS,--,60000.00,83449235.05,USD,"2,116.90",800.00,"-79,014,166.56",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10410,07/01/2025,DPRP,"Marine Supply",PMS,--,5000.00,6954102.92,NGN,"2,772.19","2,000.00","-3,860,958.90",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10409,07/01/2025,HARDIKPRD,"Marine Supply",PMS,--,5000.00,6954102.92,USD,"6,088.77","6,500.00","2,056,164.38",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10398,02/01/2025,DPRP$,"Marine Supply",LPG,--,2111.00,3694250.00,USD,811.63,910.00,"207,664.62",0.00,0.00,0.00,0.00,0.00
