spp_outstanding_amt_old,Reference,Date,Vendor,"Supply Type",Product,"Received Date	","Quantity 1","Quantity 2",Currency,"Landing Cost","Sales Price","Gross Margin","Amount Due",Paid,"Paid (%)",Balance,"Sold (%)	"
0.00,MOND-PSP-10789,08/01/2026,NU,"OffShore Supply",PMS,--,5000.00,6954102.92,USD,714.78,770.00,"276,115.32","3,573,884.68",0.00,0.00,"3,573,884.68",0.00
0.00,MOND-PSP-10783,12/12/2025,JBP,"Marine Supply",AGO,--,45000.00,50561797.75,USD,"1,500.00","1,700.00","9,000,000.00","67,500,000.00",0.00,0.00,"67,500,000.00",0.00
0.00,MOND-PSP-10659,15/10/2025,DPRP,"Marine Supply",PMS,--,1000.00,1390820.58,NGN,640.00,680.00,"40,000.00","640,000.00",0.00,0.00,"640,000.00",0.00
0.00,MOND-TSP-10645,04/09/2025,JBP,"Marine Supply",PMS,--,120.00,166898.47,USD,"1,327.29","1,584.27","30,837.45","159,274.68",0.00,0.00,"159,274.69",0.00
0.00,MOND-TSP-10641,28/08/2025,DPRP,"Marine Supply",PMS,--,10000.00,13908205.84,NGN,801.00,850.00,"490,000.00","8,010,000.00",0.00,0.00,"8,010,000.00",0.00
0.00,MOND-TSP-10639,27/08/2025,DPRP,"Marine Supply",PMS,--,1254.00,1744089.01,NGN,140.00,180.00,"50,160.00","175,560.00",0.00,0.00,"175,560.00",0.00
0.00,MOND-TSP-10638,27/08/2025,DPRP,"Marine Supply",PMS,--,1000.00,1390820.58,NGN,125.00,180.00,"55,000.00","125,000.00",0.00,0.00,"125,000.00",0.00
0.00,MOND-TSP-10629,26/08/2025,DPRP,"Marine Supply",PMS,--,2000.00,2781641.17,NGN,853.00,"1,000.00","294,000.00","1,706,000.00",0.00,0.00,"900,520.00",0.00
0.00,MOND-TSP-10622,19/08/2025,JBP,"Marine Supply",AGO,--,445.00,500000.00,USD,788.82,798.00,"4,086.43","351,023.57",0.00,0.00,"351,023.57",0.00
0.00,MOND-TSP-10621,14/08/2025,NU,"OffShore Supply",PMS,--,566.00,787204.45,USD,753.06,852.00,"56,000.00","426,232.00",0.00,0.00,"426,232.00",0.00
0.00,MOND-TSP-10614,14/08/2025,NU,"Marine Supply",FOCADOS,--,67577.00,0.00,USD,77.01,82.00,"337,285.00","5,204,029.00",0.00,0.00,"5,204,029.00",0.00
0.00,MOND-TSP-10613,04/08/2025,JDDUNN,"Marine Supply",BONLT,--,10000.00,0.00,NGN,400.00,0.00,0.00,"4,000,000.00",0.00,0.00,"4,000,000.00",0.00
0.00,MOND-TSP-10609,29/07/2025,"Motorola Org","Marine Supply",PMS,--,3000.00,4172461.75,NGN,"260,000.00","1,600,000.00","4,020,000,000.00","780,000,000.00",0.00,0.00,"780,000,000.00",0.00
0.00,MOND-TSP-10608,29/07/2025,"Motorola Org","Marine Supply",CURDE-EBADAN,--,2000.00,0.00,USD,"16,000.00","160,000.00","288,000,000.00","32,000,000.00",0.00,0.00,"32,000,000.00",0.00
0.00,MOND-TSP-10605,25/07/2025,N,"Marine Supply",BONLT,--,20000.00,0.00,NGN,"1,000.00",500.00,"-10,000,000.00","20,000,000.00",0.00,0.00,"20,000,000.00",0.00
0.00,MOND-TSP-10598,22/07/2025,NU,"OffShore Supply",BONLT,--,950000.00,0.00,USD,79.00,86.00,"6,648,968.06","75,051,031.94",0.00,0.00,"75,051,031.94",0.00
0.00,MOND-TSP-10597,22/07/2025,HARDIKPRD,"OffShore Supply",PMS,--,50.00,69541.03,USD,"1,210.00","1,500.00","14,500.00","60,500.00",0.00,0.00,"60,500.00",0.00
0.00,MOND-TSP-10589,22/07/2025,NU,"OffShore Supply",BONLT,--,40055.00,0.00,USD,77.00,84.00,"280,360.94","3,084,259.06",0.00,0.00,"3,084,259.06",0.00
0.00,MOND-TSP-10583,21/07/2025,JBP,"OffShore Supply",ESCL,--,52500.00,0.00,USD,0.00,82.50,0.00,0.00,0.00,0.00,"5,171,250.00",0.00
0.00,MOND-TSP-10578,19/07/2025,N,"OffShore Supply",FOCADOS,--,54465.00,0.00,NGN,77.00,82.00,"272,325.00","4,193,805.00",0.00,0.00,"4,193,805.00",0.00
0.00,MOND-TSP-10572,18/07/2025,DPRP$,"Marine Supply",PMS,--,3440.00,4784422.81,USD,759.51,834.00,"256,234.83","2,612,725.17",0.00,0.00,"2,612,725.17",0.00
0.00,MOND-TSP-10568,15/07/2025,SS,"Marine Supply",DCR,--,1000.00,2000.00,NGN,100.00,50.00,"-50,000.00","100,000.00",0.00,0.00,"100,000.00",0.00
0.00,MOND-TSP-10567,15/07/2025,DPRP,"OffShore Supply",BRTCOIL,--,4500.00,0.00,NGN,"1,395.00","1,450.00","247,500.00","6,277,500.00",0.00,0.00,"6,277,500.00",0.00
0.00,MOND-TSP-10564,14/07/2025,DPRP,"OffShore Supply",BRTCOIL,--,34300.00,0.00,NGN,"116,501.00","117,000.00","17,115,700.00","3,995,984,300.00",0.00,0.00,"3,995,984,300.00",0.00
0.00,MOND-TSP-10560,10/07/2025,"Shell Petroleum","Marine Supply",DCR,--,10000.00,0.00,USD,200.00,100.00,"-1,000,000.00","2,000,000.00",0.00,0.00,"2,000,000.00",0.00
0.00,MOND-TSP-10559,10/07/2025,DPRP$,"Marine Supply",PMS,--,5000.00,6954102.92,USD,600.01,800.00,"999,932.81","3,000,067.19",0.00,0.00,"3,000,067.19",0.00
0.00,MOND-TSP-10557,09/07/2025,DPRP$,"Marine Supply",DCR,--,35400.00,0.00,USD,76.01,80.00,"141,386.23","2,690,613.77",0.00,0.00,"2,690,613.77",0.00
